pregunta,opcion1,opcion2,opcion3,opcion4,respuesta
¿Qué componente convierte la presión en movimiento?,Manómetro,Actuador,Compresor,Filtro,Actuador
¿Qué significa 'actuador lineal'?,Cambia temperatura,Se mueve en línea recta,Gira,Reduce presión,Se mueve en línea recta
¿Qué gas se utiliza comúnmente en neumática?,Hidrógeno,Dióxido de carbono,Aire,Oxígeno,Aire
¿Qué unidad se usa para medir la presión del aire?,Voltios,Bar,Amperios,Hertz,Bar
¿Qué tipo de energía utiliza un sistema neumático?,Neumática,Térmica,Hidráulica,Eléctrica,Neumática
¿Cuál es la función de un filtro en neumática?,Almacenar aire,Eliminar humedad e impurezas,Agregar aceite,Medir presión,Eliminar humedad e impurezas
¿Qué ocurre si hay fuga de aire?,No pasa nada,Se aumenta la presión,Se apaga el sistema,Se reduce la eficiencia,Se reduce la eficiencia
¿Qué dispositivo se utiliza para iniciar o detener el flujo de aire?,Compresor,Actuador,Motor,Válvula,Válvula
¿Cuál es el componente que almacena aire comprimido?,Compresor,Filtro,Depósito,Actuador,Depósito
¿Qué hace un relé en un circuito electroneumático?,Actúa como interruptor controlado,Filtra aire,Genera aire,Reduce voltaje,Actúa como interruptor controlado
¿Qué tipo de señal controla una válvula solenoide?,Mecánica,Eléctrica,Térmica,Neumática,Eléctrica
¿Qué ocurre si no hay alimentación eléctrica en una válvula solenoide normalmente cerrada?,Bloquea el paso de aire,Activa el cilindro,Aumenta la presión,Permite el paso de aire,Bloquea el paso de aire
¿Qué componente detecta la posición de un cilindro?,Válvula,Sensor de proximidad,Compresor,Relé,Sensor de proximidad
¿Qué elemento permite controlar una válvula neumática eléctricamente?,Interruptor,Filtro,Solenoide,Manómetro,Solenoide
¿Qué representa una bobina en un diagrama ladder?,Contador,Temporizador,Entrada digital,Salida digital,Salida digital
¿Qué hace un contacto normalmente abierto en ladder?,No tiene función,Permite el paso siempre,Está cerrado al inicio,Solo permite paso si está activado,Solo permite paso si está activado
¿Qué tipo de señal puede leer una entrada digital de un PLC?,Corriente alterna,Señales analógicas,0 o 1,Temperatura,0 o 1
¿Qué significa PLC?,Programa Lógico de Códigos,Proceso de Línea de Control,Controlador Lógico Programable,Potente Lógica de Control,Controlador Lógico Programable
¿Cuál es el lenguaje más común para programar un PLC?,C++,Ladder,Python,Java,Ladder
¿Para qué sirve un temporizador en un PLC?,Contar eventos,Encender un motor,Detectar temperatura,Controlar tiempo,Controlar tiempo
